University/College,Ratings,Reviews,Source
Vedica Institute of Technology Bhopal,5.0,All faculty have an good knowledge in their field.all are engineers all faculties are helpful whenever you will get the problem you can go there and solve your problem there is a too many mind games also played by the faculties. The home works as well as assignments practicals all things done gratefully.,Collegedunia
RNSIT,4.3,"In Our MCA department there were multiple technical fests conducted. They do it so regularly. And annual fests yes they conduct it last year in November called akaknsh. Library is so huge nd has multiple variety of book for educational purpose. The facilities inside the classroom is also good. We have projectors and simple board which is sufficient for any educational institution. And we have good computer labs and good team to handle the labs. Yes there so many sports and extracurricular activities offered. They offer circket, archery, and many more games.",Collegedunia
Indian Institute of Technology Mandi,4.0,"It is a more than a good college The infrastructure is good for research scholars like me here , Although there are some improvements (i.e heaters in rooms ) that will make the infrastructure so much better and more like normal conditions.otherwise it is perfect. If I talk about academic wise then here resources, funds and projects are available or provided by professors but the important thing is that professors lack in experience of teaching in my opinion.Else everything good. Placements of ph.D are inclined towards research role companies, academic or industrial R&D position. Also here the network of professors also help scholars to directly do projects in the company and get placements from there.",Career360
"St Joseph's University, Bengaluru",3.0,"could be better gng, but im having fun doing tomfoolery. the college infrastructure is pretty nice, the campus is big. Everything is prettu good really, i dont have much to say about that, and these are filler words to help me reach the 200 character limits. its done now. The acadamics are a mix of things that are important and things that are stupid, some teachers rely purely on chatgpt, and some rely on their ppts. the studies vary from college grade assignments to middle school assignments. in truth the faculty could work on their teaching skills. dont know crap about placement. if the mba students from harvard cant land a job i dont think this uni can help with placements. i hope they do, but im not do optimistic about it either. According to seniors, the college does for placements.",Career360
NIT Patna,4.0,"The campus placements are moderately good in severe times of recession like this, though branches like civil , EE, Mechanical get placed very good but cse is facing some recession, still they are placed above average compared to other colleges The students become eligible for internships from their 5th semester i.e their 3rd year and for campus placements from 3rd and 4th year in 2024 one of the final year students from cse grabbed 2cr at google and the median and average placement package is decent here 90-95% students get placed in decent companies My plans are to explore software development with interets in Machine Learning and Artificial Intelligence",Collegedunia
IDOL Mumbai University,0.5,Online procedures create an account over the portal and then fill up the basic details of you and your academics throughout till the graduation and the submit it. Select the required course and then select the subjects if options available,Collegedunia
"Sanjeev Agrawal Global Educational University, Bhopal",2.6,"Not worth it . Infrastructure of the University is same as foreign architectures, the campus is clean and well maintained.The only issues is with the network and wifi and washrooms are not clean so if that is improved then the campus is bestes among bhopal. Faculties for some specific specialization are not much good in english as well as knowledge.The curriculum is updated timely and they also give us academic workshops to enhance our knowledge but better they should focus on quality of teachers. Worst placements as the campus do not provide much facilities to theirs students with invaluable sessions and worst trainings by faculties . The least package is minimum 1 lakh which is not at all satisfactory after paying such few amount",Career360
"Kommuri Pratap Reddy Institute of Technology, Ghatkesar",3.0,"Decent college with focus on skills and development The college provides the necessary infrastructure for students. Classrooms are equipped with smart boards , and labs are useful for practical learning . The campus is organized with separate blocks for different departments. Sports grounds and activity areas are also available. The college has improved hostel and canteen facilities , which made it more convenient. The academic approach is focused on concept clarity and student understanding. Faculty members guide students regularly and help in project work. Programs like SAP training, Code Unnati, and ETOE contributed to improving my technical skills and confidence. The placement team conducts regular training sessions including CRT , aptitude classes , and mock interviews . Workshops and industrial visits provided practical exposure. Placement opportunities are increasing gradually with improved training support. Decent college with focus on skill growth",Career360
Alamuri Ratnamala Institute of Engineering and Technology Thane,0.5,"Aruna Sonawane(Exam head) cancelled our lectures for not paying venture capital. They charge 1000rs for giving hallticket.6)for Re-exam(KT) they charge 1000 rs per subject. They have decided to give DROP to some students(to permanatly fail). They charge 500rs after failing in internal exam,100rs for late assignment submission.""Aruna Sonawane"" tells us to do settlement with her after failing in internel exam,no other college does this. They have failed many students of A division for 1 mark. If 30 is passing they give us 29. After displaying marks of senior students on gadget they changed marks 3 times in one hour. No photocopy of answer sheet is given if we ask.rechecking requires 1000rs. They told us exam will be held only on saturday and sunday. But they kept 2 papers on one day .9 papers continuously for 5 days at ASANGAON. Lectures are held at NKT college in thane and exam is at ASANGAON.",Collegedunia
Sir C R Reddy College of Engineering Eluru,0.5,"I never seen in my life this much of worest college,please don not suggest for any other students and other people.because in this college they spoils students life,they torcfhers the students and parents.i didn't get any good scholarship or loan facility offered by this college,they donn't provide anything,even certificate papers also just like tissue paper quality,as much as possible the management will collect money from students.",Collegedunia
"ICFAI Business School, Mumbai",3.3,"Decent collage Yes the college has all the necessary infrastructure, facilities and equipment We have facilities like Ac lecture halls , smart boards , big libraries but not sports ground small indoor pool table and carrom board Wifi in available all over the campus and everything is well maintained I'm studying PGPM in marketing currently interning at frootle Quality of teaching is good professor are experienced Yes curriculum is updated if required Yes study do make you job ready and skillful as well Placement is good around 95% student get placed Highest package is 20 LAKHS CTCfor finance domain Average salary is 8 lakhs CTC College is supportive and placement process is easy as well BIG Companies for marketing come for placement as well JIO , KANTAR, BLINKIT ETC.",Career360
Delhi Metropolitan Education Noida,5.0,"the annual cultural fest is Aloha and it requires a lot of work put in by students. Aside from this, the media department has its own annual production that is a media convention cum festival called Vritika, and it is in the 9th edition this year. the library provides amazing resources for all students related to their course work. all books and reference material can be found in the library. there are a lot of student run social clubs and cells, and they provide with opportunities to learn extra skill as well",Collegedunia
"Bhawanipur Education Society College, Kolkata",3.9,"It is a very good college. The infrastructure of BESC Kolkata features modern classrooms, weel equipped labs, a rich library, and excellent sports facilities. Its central location and vibrant campus creates a dynamic, comfortable environment. The academics at BESC Kolkata are well structured, and industry oriented , supported by experienced faculty and interactive teaching methods. The curriculum balances theory with practical exposure and real world skills. Placements at BESC Kolkata are supported by active industry connections and career guidance. Regular training, internships and recruiter visits help students explore diverse opportunities and build career strong pathways. Overall it is a very good college",Career360
DTU,4.3,"The overall experience is quite good because I am living near DTU which is like 15-20 min from my home so it very easy for me to come college and hangout and explore college with my friends.Also the society I join is also give me a soft skills like communication, management of a event, corporate basic knowledge etc.",Collegedunia
LPU,4.4,"I have completed my course from lovely professional university (LPU),Punjab. the year tution fees for my program (B.tech) was around 1.4-1.6 lakhs before scholarship. in the first year i paid around 120000 . additionally , there was a one time admission fees of about 10000 which is refundable also if student deny to take admission and examination fees of around 4000 per semester. registration and enrollment fees included in program fees. i received 40% of scholarship through LPUNEST EXAM that was conducted by lpu only. fees slightly increses for new batches but remain fixed for enrolled student. overall affordability depends on scholarship support",Collegedunia
"Lady Shriram College for Women, New Delhi",3.6,"A safe and valuable college for girls The infrastructure is consist of A very nice And Good Vibes Giving Building Canteen And ground, The Washroom And Common rooms Are very clean And the canteen serves hot and Delicious Food Overall the infrastructure consist a very hygienic environment Academics are top Of this college Although It is Women's College Only But We Have faculty Both male and females And And they teach in a very Positive way So that you Easily study And they provides real life examples So that you can relate I am pursuing B com hons From this college And the placements are From 4 to 6 lakhs p.a., And Most of the students get placed By campus placement And it's a really good start for them Placement cell Also plays a very big role In the recruitment",Career360
"Mittal Institute of Education, Bhopal",3.0,"Fine The college infrastructure is good but they don't have wifi connections for the internet. The lab is also not good and not properly setup; the classroom is not too good and the library has very old books and a very small library. Many times students didn't get proper books. In the college, we don't have proper faculties for the study and also the faculties didn't help the student. The teacher's communication skills are very good. Even the college principal's behavior is very bad; he does not talk well and never helps the children. In our college, no one placed from the college. The average didn't provide any placement and they didn't provide any course. In the college didn't company company. Even the college didn't provide the internship. The college placement is very bad and didn't provide an internship If someone is looking for a low-cost college with basic facilities and a peaceful environment, it can be a suitable choice.",Career360
"Kashi Institute of Technology, Varanasi",4.5,To achieve high package of salary. College infrastructure to best there are many facilities to maintain a best college of the varanasi our college have many different department to study to make your career bright and cheerful your life. Teacher is best in our college give many knowledge to us to make our life happy and best so we can grow up in our life make life high standards and maintain a status in society by our work to make a provide to parents. Placement is well in our college many company approach to our college for give opportunity to our students by seen the best interview and communication skill of our senior so it the main things to get package.,Career360
"Jabalpur Engineering College, Jabalpur",2.6,"Please do not come better to remain ungraduated Worst-performing college infrastructure in India, often found in remote or unapproved private institutions, is characterized by unsafe, dilapidated buildings lacking proper classrooms, functional toilets, and drinking water. These colleges often have no labs, libraries, or electricity, while many operate in makeshift facilities, i The worst academic colleges in India are often characterized by crumbling infrastructure, severely outdated curricula, and a severe shortage of qualified, motivated faculty. These institutions, often labeled tier-3 or Ã¢ÂÂred tierÃ¢ÂÂ due to low rankings, prioritize high enrollment over quality, leading to rampant rote learning and poor placement The worst college placements in India are characterized by 0Ã¢ÂÂ20% placement rates, featuring mass recruitment at salaries below Ã¢ÂÂ¹2.5Ã¢ÂÂ3 LPA, or no campus visits at all. Private tier-3 institutions often inflate 100% placement claims using fake, irrelevant, or BPO roles (sometimes called ""phantom placements"").",Career360
"Matoshri College of Engineering and Research Centre, Nashik",3.5,"College was average with some drawbacks. HereÃ¢ÂÂs a complete answer you can use: Yes, my college has most of the necessary infrastructure, facilities, and equipment required for effective learning and overall development. The campus includes well-equipped classrooms, modern laboratories, a well-stocked library, and computer labs with internet access. It also provides facilities like seminar halls, sports grounds, and clean drinking water. Additionally, basic amenities such as Wi-Fi, proper sanitation, and safety measures are maintained. However, there is always scope for improvement, especially in upgrading equipment, increasing digital resources, and maintaining certain facilities more efficiently. Overall, the college provides a supportive environment for academic and extracurricular activities. The quality of teaching in my college is generally good. The faculty members are knowledgeable, supportive, and explain concepts clearly. They use different teaching methods such as lectures, presentations, and practical sessions to make learning effective. Doubts are addressed properly, and students are encouraged to participate actively. However, there is still some scope for improvement in terms of using more advanced teaching tools and interactive methods. The quality of placements at my college is moderate. Some well-known companies visit the campus for recruitment, and many students get placed every year, especially those with good academic performance and skills. The college also provides training programs such as aptitude tests, interview preparation, and soft skills development to improve studentsÃ¢ÂÂ chances of getting placed. No",Career360
VIT AP,4.9,"Every one in the college have their mentors and they will guide us .we have course registration to choose the subjects and faculty to teach.they were available in their cabins to clarify our doubts and we have 3 exams cat 1,cat 2 and fat over all we need 40 marks to pass in final exams for 100 marks",Collegedunia
CCSU,4.9,"My overall experience at this college is the best. It shaped my future, made me confident, and helped me with my basic skills. The library of my college is good, it has more than 30,000 books. It also has a digital library, an audio class, and a language lab. In the lab, it has more than 100 PCs. Student life here is very awful. I enjoy being here; every classes are interesting and helpful. Our college has a commerce society that organises events every week to boost our skills. Recently, they have been organising vyparniti 2.o overall i am enjoying being here.",Collegedunia
"Satyawati College Evening, Delhi",3.3,Academics and infrastructure is average College infrastructure is good as it is same for both morning and evening batch of the college I personally likes the canteen of the college which has a very good arrangement to sit with your mates and spend time Academic are average at this college comes under of campus of the Delhi University so that teachers do not look after the students personally if you need guidance you have to only reach them otherwise they will fully ignore you Placements are not good like we are in evening so that we can't get placements even good or bad but as compared to morning they get good opportunities and the placement cell also not have good member in the evening batch of college,Career360
"Jangipur College, Murshidabad",3.1,This college doesn't provide placements. This college mainly provides general courses which don't have placements as such though student do have good skills that help them later on. Professional courses should be started,Collegedunia
"Devi Ahilya Vishwavidyalaya, Indore",3.1,Placements are also not too good because last time from my class 30 to 40 students got placements where is the strength of the class was 150 students approx and packages are not also too good they are just okay okay.If I talk about academics and study then it is also average and poor because the faculties do not focus on students doubt too much they used to teach and go also there question paper level is very easy and ragging is normal in DAVV,Collegedunia
SSIPMT,4.3,I was interested in tech field that's why I choose to presume b.tech . I choose ssipmt raipur because I got the nice review of this college. There is idea lab which help us with real life experience and creativity. And the hackathon that held in our college.,Collegedunia
Sri Krishna Arts and Science College Coimbatore,5.0,"Skasc provides vast placements. Every year the break their own records in placements. This time they made a new record of 219 out of 239 placed in Infosys. In skasc various famous it companies like wipro, cts, TCS, techM, Amazon, Oracle and etc. The placement for CDF departments are also available. Various boutiques offers placements and high rated hotels are offering placements for Catering dept.",Collegedunia
"Sathyabama Institute of Science and Technology, Chennai",4.0,"Ok Good The college has excellent infrastructure, with modern classrooms, well-equipped labs, a vast library, and good Wi-Fi connectivity across the campus. The hostels are well-maintained, with decent food and proper safety security. The college also has sports facilities. ""I'm pursuing BE CSE at Sathyabama .The teaching quality is great - faculty are experienced and make complex concepts easy to understand. Curriculum's on point with industry trends, and the regular assessments really help gauge progress. Infrastructure's top-notch too - modern classrooms, good labs, and decent hostel facilities. The institute has a strong track record of placing students in top companies, with over 300+ companies visiting the campus and offering placements. The highest package offered is Ã¢ÂÂ¹41.5 LPA, with an average CTC of Ã¢ÂÂ¹5.57 LPA. Top recruiters include Amazon, Cognizant, Wipro, Infosys, and TCS.",Career360
"Chaudhary Charan Singh University, Meerut",3.2,"Very nice experience it was College infrastructure is the backbone of a high-quality educational experience, encompassing the physical and digital resources necessary for student success. A well-designed campus provides an environment that fosters both academic excellence and personal growth. Core Academic Facilities At its heart, infrastructure includes modern classrooms equipped with ICT tools like smart boards and high-speed Wi-Fi to support interactive learning. Laboratories with state-of-the-art equipment are essential for hands-on technical training, while libraries serve as vital hubs for research, housing vast collections of books and digital databases. Student Life and Support Beyond academics, infrastructure covers residential and recreational needs. This includes: Core Academic Facilities At its heart, infrastructure includes modern classrooms equipped with ICT tools like smart boards and high-speed Wi-Fi to support interactive learning. Laboratories with state-of-the-art equipment are essential for hands-on technical training, while libraries serve as vital hubs for research, housing vast collections of books and digital databases. Student Life and Support Beyond academics, infrastructure covers residential and recreational needs. This includes: Hostels: Safe, well-ventilated housing with essential amenities for out-station students. Dining: Clean cafeterias and mess halls that provide nutritious meals. Recreation: Sports complexes, gymnasiums, and open playgrounds that promote physical well-being. Common Areas: Auditoriums for cultural events and seminar halls for professional workshops. Sustainability and Safety Modern campuses increasingly prioritize green infrastructure, such as solar power, waste management systems, and College infrastructure is the backbone of a high-quality educational experience, encompassing the physical and digital resources necessary for student success. A well-designed campus provides an environment that fosters both academic excellence and personal growth. Core Academic Facilities At its heart, infrastructure includes modern classrooms equipped with ICT tools like smart boards and high-speed Wi-Fi to support interactive learning. Laboratories with state-of-the-art equipment are essential for hands-on technical training, while libraries serve as vital hubs for research, housing vast collections of books and digital databases. Student Life and Support Beyond academics, infrastructure covers residential and recreational needs. This includes: Hostels: Safe, well-ventilated housing with essential amenities for out-station students. Dining: Clean cafeterias and mess halls that provide nutritious meals. Recreation: Sports complexes, gymnasiums, and open playgrounds that promote physical well-being. Common Areas: Auditoriums for cultural events and seminar halls for professional workshops. Sustainability and Safety",Career360
Indian Institute of Technology Mandi,3.2,"Nice As per number of students that are enrolled in multiple domains the infrastructure is not up to the mark, because they are increasing the enrollments every year but the accommodation facilities are not increasing at the same rate I am studying Management course and the quality of teaching is very nice for some course and for some it is worst that can be, curriculum is updated and the courses are designed such that they makes us job ready but they lack some content for current dynamic job market The placement process is not that smooth for all the people as informed by seniors also, for pgp the placements are highly dependent on the past degree/courses that they have done rather then the current course they did in their pgp",Career360
"Government Polytechnic, Gandhinagar",3.1,"Good to see here in college with low fees. No,my college doesnot contain the necessary infrastructure, facility and equipments. They do not use fund adequately or appropriately, whatever space is covered it must occupy all the areas. No wi-fi given by the college. All the subject and content matter is having such information which will help us in future but Some subjects are there which are not align with our specifications of subject. Curriculum is updated that is why I am studying here. If there are KT or back in the exams then you are not eligible to apply for the placement. Academically you have to score better to get the placement. 25k to 30k salary they generally offers to IT students.",Career360
VNRVJIET,5.0,The campus life is very excellent more than what you expected. The will be gender equality between male and female. Equal opportunities are given to the genders. The labs are excellent. There will be every year sports fest in our college and our college teams will go to other sports fest and participate in it. There will be convergence events where there will be fest regarding technologies.,Collegedunia
"Kristu Jayanti Deemed to be University, Bengaluru",3.4,"Good academics, vibrant campus, and supportive faculty. KJU OFFERS A VIBRANT CAMPUS,SUPPORTIVE FACULTY AND PLENTY OF ACADEMIC AND CULTURAL OPPURTUNITIES.ITS A GREAT PLACE TO LEARN, MEET DIVERSE PEOPLE AND GROW BOTH PERSONALLY AND PROFESSIONALLY. BEST COLLEGE Faculty is very nice.Kristu Jayanti College provides a strong academic support with experienced faculty, structure, curriculum,and good research exposure.The college encourages discipline and academic excellence. Top places alloted. Kristu Jayanti offers decent placement supports with training programs,internships and company tieups. Students get oppurtunities to build skills and secure roles across various industries No",Career360
"Vivekanand Education Society's College of Arts, Science and Commerce, Mumbai",3.7,"We get practical learning here college Infrastructure was quite good spacious and modern with all the necessary facilities available and working campus is clean and hygienic and neet classroom are equipped with smart classes boards, wifi available in all area big library as well I studied BMS there and quality of teaching was good and curriculum is practical and Industry oriented. Student have to prepare presentation, projects and do internship too. study do make us job ready there decent opportunities are there quality of placement is decent . It is not high paying percentage student placing is around 30 - 40% at most package is around 2 LPA at max around that only placement process is easy",Career360
Fergusson College Pune,5.0,"100 % job placement. The paint Manufacturing / application industry offers a starting job of Supervisor or Chemist or a Marketing Executive and average salary packages between 1.5 lakh and 2.5 lakhs per annum. Salary package is different across the industry. Over a period of time, the person can progress to senior level and salary increases accordingly with respect to the position.",Collegedunia
"ICFAI Business School, Mumbai",3.3,"study through case studies is a benefit here It's pretty decent college wuth all the necessary facilites and equipment College does have Lecture classrooms, linraries, sports room, no hostel though.it has wifi, smarts bords, auditorium which is small . everything is well maintained and works i'm studying Post graduation in marketing from here so far the experience been good with the professors quality of teaching is decent and i understand most of the things. curriculum is well updated with current requirement Decent placement happenes in this college . more than 40-50 different companies come for placement. highest package mostly goes to finance domain around 20 to 22 lakhs average salary is around 8 lakhs per annum. different companies have different selection process",Career360
"Devi Ahilya Vishwavidyalaya, Indore",4.0,Everything is good except placements. In terms of infrastructure this college is highly recommended because cultural activities occur here quickly and also there auditoriums are very good in the quality and well maintained also if I talk about their branches they are available for setting for longer Teachers are very experience almost every single teacher has experience of 10 10 year or more and also if I talk about their way of teaching then it is also good and they are supportive and helping in nature. In the field of placements this college somehow lack behind and almost 75 student from my batch didn't get placed and I think that master student have better opportunities then the bachelor once which is not sufficient.,Career360
"Liberal College, Indore",3.6,"Good The infrastructure is decent but not something extraordinary. Classrooms are okay for regular lectures, and basic facilities are available. The campus is not very big, but itÃ¢ÂÂs manageable. Cleanliness is maintained most of the time, though some areas could be improved. Good college staff and enough for students. The faculty are very qualified and their teachings techniques are just awesome. If they will teach us we will definitely clear the exam. I passed all semester without any back. There are many to take placement in a good company through this college. The placement ratio is very high or this college. The eligibility of taking part in placement process is about 3-4th year . The highest package is about 8 lpa. Allmost 70% students will got placement every year Overall, itÃ¢ÂÂs an average college. Not too bad, not too great. It depends on what youÃ¢ÂÂre expectingÃ¢ÂÂgood for basic education, but for bigger opportunities, youÃ¢ÂÂll have to put in extra effort on your own.",Career360
KMM Institute of Technology and Science Tirupati,5.0,"My overall campus life at Jawaharlal Nehru Technological University has been vibrant and enriching. The social atmosphere is friendly and diverse, helping me build strong friendships and professional networks. The university offers active student clubs, technical societies, cultural teams, and sports activities, which improve leadership and teamwork skills. Infrastructure is well-developed with spacious classrooms, modern labs, a central library, sports grounds, and Wi-Fi facilities, creating a supportive environment for both academic and personal growth.",Collegedunia
"Shaheed Raja Hari Prasad Mal Government Homeopathic Medical College and Hospital, Gorakhpur",3.5,"One of the best govt.homoeopathic college in U.P The whole infrastructure of the college is very good , it is developing day by day. The overall environment of the college premise is nature friendly including pharmacy garden , canteen and sports room. I'm currently pursuing 2nd year from this college and still I think the academics need improvement. The availability of the staff is less according to the need. The staff is friendly, helpful and always available to work on your doubts. Depending on the location it is situated, the flow of the patients is very good and working is continuous. The students doing internship and placed there gain lot of experience but accordingly stipend should get a little higher.",Career360
Rajiv Academy for Technology and Management Mathura,4.0,"The college has very good Faculty member like Mayank Sir and Gaurav Sir these Faculty are Good For Students Future. And the structure is we have 5 Reading Subjects like JAVA ,DSA , DBMS , POM, and Mathematics also And There is Semister wise System and In one semister Having 3 Exam Like 1. Sessional 2. PUT 3. UT. UT is University Text or Exam this is Final Exam in One semister and Tere has 100 marked Per subject and tere is 50 Marks for theory and 50 for internal marks so the internal marks are given by Our collage faculty and Another theory marks are Given by university faculty which is in Agra(u.p).",Collegedunia
"Nadimpalli Satyanarayana Raju Institute of Technology, Visakhapatnam",3.3,"It Is Good College The college provides well-maintained classrooms that are spacious, ventilated, and sometimes equipped with projectors or digital teaching which helps in better understanding of subjects. There are laboratories with essential equipment that support practical learning.Bout there is no sufficient class for students. Our college have better classrooms with clean and spacious.In our college laboratories with efficient equipments.Our college have Network Issues which means network connectivity very much less.There is no signals in our college. My experience at our college has been a meaningful and enriching journey. The campus provides a positive learning environment that encourages both academic and personal growth. One of the most valuable aspects of our college is the dedication of some faculty members. A few professors are truly exceptionalÃ¢ÂÂthey explain concepts clearly, support students beyond the classroom, and motivate us to achieve our goals. Their teaching methods make difficult subjects easier to understand, and they are always approachable for doubts and guidance.",Career360
Motilal Nehru Evening College,4.4,my parents paid sum about 13k by general category there may be some changes of my batchmates for their categories other than mine but according to the cut off and allotted college everybody is paying equal amount accordingly for their specific courses,Collegedunia
Narayana Engineering College Nellore,4.8,"Students are eligible for the placements from 3-2 semesters There is special drives for girls Tcs and Amazon ,Google etc 25 highest package and avg placements 13 or 15 75 percentage students were selected Iam trying to get job in college placements",Collegedunia
"Delhi Metropolitan Education, Noida",3.5,Transformative journey of growth learning and connections. DME has a good infrastructure with well maintained classrooms and a comfortable learning environment. Also there is an amphitheatre and moot court for law practices as well as Seminar Hall for events. Academics at DME is good. the syllabus is updated according to changing industry needs. The college follows the IP university curriculum and the teachers and professors are supportive and knowledgable Placements are good and offer decent opportunities to students. the college has a seprate placement cell that actively supports students with guidance many companies visit the campus to place students overall the college is a great choice for students as it offers good academics with the IP university curriculum supprotive faulty and decent placements with a dedicated placement cell the college infrastructure is well mantained and campus life is engaging with events fest also it is very convenient to travel to DME as it is only 6-7 mins away from noida 62 metro The only drawback is the lack of proper sports ground but college provides access to noida staidum membership to solve this problem.,Career360
VIT Bhopal,4.8,"The faculty members in my college are all doctorate they are very supportive and qualified , students can ask doubts easlity after the class , the ratio is also good . the exam system is also well orgainzed , there are internal assessments ,assignment and mid sem along with the final sem exam . the overall system is well organized , the environment is good and helps students grow.",Collegedunia
"Satyawati College, Delhi",3.1,"Average college of du Infrastructure is average but a bit old , its needs a new and fancy touch so it can look dashing like other colleges and students will be influenced otherwise the locality of the college is good easy transportation is available Academics are average as we are from arts department so we not need labs or lab classes are not held and the teachers teach by themselves only the projectors do not work they are stuck and library doesn't have all books Placements are not good , not even after persuing ba but if you are from any department of satyavati college you will not get a good or average placement don't think about placement at all , they will not help you in this",Career360
"S M Shetty College of Science Commerce and Management Studies, Mumbai",3.3,"Good college infrastructure and teachers My college, SM Shetty, has really good infrastructure, which is why IÃ¢ÂÂve rated it 4 stars. The campus is very well maintained and hygiene is clearly taken seriously. Classrooms are clean, well-organized, and equipped with proper AC, making it comfortable to study even during long hours academics are okay, so I gave 4 stars. Teaching is decent and faculty also try to complete the portion on time, so overall itÃ¢ÂÂs manageable for me n taking part in different activities its turn ass important for education partten now They give some level of assurance regarding placements and help students with a proper career path. Also, IÃ¢ÂÂve heard that they provide a second chance if someone doesnÃ¢ÂÂt get placed the first time, which is a good thing. No",Career360
"Devi Ahilya Vishwavidyalaya, Indore",3.2,I don't recommend this college. In terms of infrastructure are college lacks behind labs do not have enough equipment for students to use sports playgrounds are also very small to fit in many students at once and classrooms are not spacious enough facilities of canteens is also not good. Courses and curriculum is not updated that much and teachers are not at all polite they are not helping in nature and they are a little bit rude they don't consider any week student and they only focus on student who are getting good marks and exams are little bit of you have to study a lot. Placements are not good life and 50% of the students in my batch didn't got placed and many of them who got place were on the packages from 15 to 20k gave at the highest and not many companies visit our campus and the companies which visits generally likes to pick student who have done their masters.,Career360
Excel College of Engineering and Technology Namakkal,0.5,Dudh college off placements during the admission time there is no such thing as placement in our collegeplacement cell or replacement department works with no I am of placing the students but this is the guidance of where the job is please don't usually help,Collegedunia
"BVV Sangha's Institute of Management Studies, Bagalkot",4.2,"This is the place where education inspires success The campus provides great infrastructure. All classrooms are one of the best in India. They have state-of-the-art technology. All hostels are good. The campus provides great facilities for sports like badminton, table tennis, football, etc. Our college has a swimming pool and cricket ground. All teachers are great. They provide practical experience. Their teaching methods are case-based. They make students think about every situation. They conduct quizzes during the first year. We have to study every day to pass exams. Almost 70% of students get placements and internships every year. Students got finance roles. The lowest salary package offered is 3.26 LPA. and highest salary package offered is 6.5 LPA. Placement offers well training and development activities. Nothing",Career360
"Maharana Pratap College of Technology and Management, Gwalior",3.0,My experience is not goodbin this college in the Mca Maharana pratap college of institute ye college me koi class bagera nhi hoti campus Acha nhi h or job ke loye company bhi nhi ati h koi training bagera nhi hoti yaha teachers bs ache h jo coprate karte Mca course ki koi class nhi lagti h koi training ke loye visited nhi karate h class hi nhi lagti h clg ki koi function bagera bhi nhi hote h bilkul bhi Acha nhi h academy bases pe bilkul slow bases pe kam Placements ke liye koi company nhi ati h yaha na koi training hoti h bacche agar khud se try na kare bahar to yaha se to sirf name ki graduation hoti h bs bo bhi koi kam ki nhi h bs tag h koi class koi bhi knowledge based ma pagaya jata yaha Nothing is good in that college to remember in my life to till end ho my life college campus is not good teachers is not good,Career360
Indian Institute of Technology Mandi,3.7,"Overall experience is good, campus and academics is decent College infrastructure is good, although the numbering on buildings and rooms is kind of weird. Everything else is fine, there are heated classrooms. And the new hostels have ACs. Old ones are congested. Although being an IIT, very few professors know how to teach. The content provided is good tho. There is good competitive environment, courses are good and provide real skill. There are all kind of labs, Labs are the best part of the college. Placements are good, most of the students get placed and the average package is pretty good too. Although internships are taken by only circuital branches. Companies are increasing year by year, so overall it's good.",Career360
SSIPMT,4.9,"1 faculty is there for 25 students.They proper take care us boost our energy and they are very friendly.I like all facilities there is no one whom I don't like some are very friendly and some are like our parents strict but they want to make our future bright and want that we can grew up independent.There are 3 exam CT1 ,CT 2 and End sem exam ,Exam are moderate for us because if we study hard then our exam is very easy for us and the questions are come from question banks only the faculty provide us . We don't have to suffer from any loss",Collegedunia
"Eastern Institute for Integrated Learning in Management, Kolkata",3.5,"Best college i ever experienced in my life EIILM Kolkata has good infrastructure with modern classrooms, air-conditioned lecture halls, computer labs, library, and Wi-Fi facilities. The campus is well-maintained and provides a professional environment. However, being a city-based campus, it is not very large, and outdoor facilities are limited compared to bigger universities. EIILM Kolkata offers quality academics with industry-oriented courses, especially in management. The curriculum is updated regularly, and faculty members are experienced and supportive. Guest lectures, seminars, and practical exposure help students gain real-world knowledge. Overall, academics are strong and focused on career readiness. EIILM Kolkata provides decent placement opportunities, particularly for management students. Many reputed companies visit the campus, and the placement cell actively supports students with training and internships. The average package is moderate, but students with good skills and performance can secure better offers. EIILM Kolkata has an overall rating of around 3.5 out of 5. It performs well in academics and placements, especially for management courses, while infrastructure and campus life are decent. Overall, it is a good option for students seeking quality management education in Kolkata with decent career opportunities.",Career360
Lords Institute of Management Surat,5.0,Pacific express in the bakery eggless cake influence decision the course curriculum prepare real world experience for the academy Ahmedabad skill India digital competition Area of improvement nothing all is very smart Very intelligent courses front office food and beverage eating method is from projector frequency of timing exam is very much like by students,Collegedunia
Acharya Narendra Dev College,4.0,"the faculty to student ratio is good, like 120 students batch, but 30-40 divded in batches, he relationship is good, teachers are approachable and helpful. The labs are well maintained and in good conditions, the library is probably my favorite, the seminar room is the probably the mid part of the clg since its small, the exams are easy not to tough they cover all topics covered in class, mostly students clear with ease if they study in the classrooms",Collegedunia
Motilal Nehru Evening College,4.2,"Name of annual event is Astir it is a cultural event typically held in April mid or 1st week, there are many books in the library which you will need more than enough, Classrooms have projectors and library has opaq system for navigation Our college is renowned for sports and Acheivements there are several NGOs run by the students",Collegedunia
